"","total_reads","n_contigs","assembly_length","N50","human_reads","Busco_M","Busco_C","Busco_F","Busco_CF"
"Collembola",64867681,77030,205104177,5165,0.180000000000007,8.4,82.5,9.1,91.6
"Collembola",69766968,47967,132707328,5289,0.299999999999997,9.2,85.9,4.9,90.8
"Collembola",71175812,46519,150489572,7650,0.170000000000002,9.2,80.1,10.7,90.8
"Collembola",68802573,90447,165769473,2814,1.47,11.8,74.7,13.5,88.2
"Collembola",73705202,81583,164633723,3346,1.06999999999999,9.4,80.9,9.7,90.6
"Collembola",50204099,50090,302314595,15023,30.23,7,86.5,6.5,93
"Collembola",65396084,23648,213903219,31668,0.980000000000004,5.3,92.8,1.9,94.7
"Collembola",68353554,183287,334623379,2575,0.670000000000002,14.7,61.7,23.6,85.3
"Collembola",63658646,135066,310704205,4093,0.0699999999999932,19.3,59,21.7,80.7
"Collembola",75309245,107697,199953470,2811,0.170000000000002,13.8,65.4,20.8,86.2
"Collembola",73867538,94831,215996494,4070,0.120000000000005,14.4,72.8,12.8,85.6
"Collembola",69868648,43032,277320466,20249,0.5,6.5,91,2.5,93.5
"Collembola",70271964,124986,330647988,5430,0.0699999999999932,10,75.1,14.9,90
"Collembola",67201049,75260,311296792,10199,0.0499999999999972,7.6,83.3,9.1,92.4
"Collembola",69677841,135028,267121495,3120,0.0799999999999983,14,64.8,21.2,86
"Collembola",67596840,214288,506134237,3846,0.689999999999998,9.9,80.3,9.8,90.1
"Collembola",67280168,162755,255310856,2076,0.129999999999995,14.6,63.4,22,85.4
"Collembola",65032403,111421,322401694,5835,0.0600000000000023,7.7,83.4,8.9,92.3
"Collembola",81868844,57622,335741602,14199,0.140000000000001,6.1,88.6,5.3,93.9
"Diplura",65488935,231684,573924897,3600,5.7,30.9,27.9,41.2,69.1
"Diplura",65133149,250076,602100884,3408,0.0499999999999972,34.8,25.1,40.1,65.2
"Collembola",71863426,176417,260476162,1927,0.120000000000005,29.4,36.9,33.7,70.6
"Collembola",72203778,186330,392061562,3395,0.159999999999997,12.5,72.4,15.1,87.5
"Collembola",70542729,174513,392824805,3782,0.0999999999999943,12.7,73.6,13.7,87.3
"Collembola",69512252,191485,346765916,2643,0.0900000000000034,23.1,46.7,30.2,76.9
"Collembola",69190863,89519,275245309,6558,0.0600000000000023,7.2,83.8,9,92.8
"Collembola",64133985,128363,301025675,4160,0.109999999999999,8.1,80.4,11.5,91.9
"Collembola",73822863,101706,411396600,10359,0.0600000000000023,5.4,93.3,1.3,94.6
"Collembola",69928881,71490,177476601,4727,0.0400000000000063,12.2,74.4,13.4,87.8
"Collembola",72828057,77940,216033958,5253,0.0499999999999972,13.7,75,11.3,86.3
"Collembola",70179560,165933,314863068,2860,0.0999999999999943,16.6,62,21.4,83.4
"Chilopoda",71363398,511088,683924589,1568,0.390000000000001,56.1,13,30.9,43.9
"Chilopoda",66534546,525464,626140670,1333,0.859999999999999,61.6,11.8,26.6,38.4
"Chilopoda",65051096,552208,557635395,1065,0.25,87.5,3.7,8.8,12.5
"Chilopoda",64430075,567561,720870342,1450,0.200000000000003,78.7,8.7,12.6,21.3
"Chilopoda",68742317,429524,486415499,1241,0.510000000000005,83.7,3.9,12.4,16.3
"Chilopoda",69676085,406080,582835778,1706,0.370000000000005,55.8,13.4,30.8,44.2
"Chilopoda",68222768,44530,158457551,8434,1.13,9.4,83.3,7.3,90.6
"Chilopoda",72660963,41003,155172134,8146,0.280000000000001,6.5,89.4,4.1,93.5
"Diplopoda",72342618,30200,246684850,18693,0.549999999999997,10.1,81.9,8,89.9
"Diplopoda",70155685,165599,329516679,2530,0.260000000000005,33.7,26.7,39.6,66.3
"Diplopoda",77653908,27062,234652535,18555,0.25,11.1,83.1,5.8,88.9
"Diplopoda",71956176,64911,230247290,7764,0.390000000000001,14.7,71.6,13.7,85.3
"Diplopoda",73714752,48387,275481723,12251,0.540000000000006,9.2,86.6,4.2,90.8
"Diplopoda",71926173,97824,378404268,6128,0.530000000000001,13.7,61.9,24.4,86.3
"Diplopoda",66717421,69956,220808849,4920,1.95999999999999,11.6,76.9,11.5,88.4
"Collembola",NA,77250,233739476,7246,0.290000000000006,9.4,80.5,10.1,90.6
"Collembola",NA,77101,229937048,6501,0.290000000000006,9.9,79.9,10.2,90.1
"Collembola",NA,111412,162493100,2163,0.489999999999995,26.5,45.3,28.2,73.5
"Nematoda",NA,80037,159181096,3819,0.140000000000001,39.2,52,8.8,60.8
"Oribatida",NA,67240,230763256,8047,1.12,9.1,87.6,3.3,90.9
"Collembola",64868551,1969,88077484,162062,NA,17.2,72.2,10.6,82.8
"Collembola",64040429,100445,229643284,4236,NA,24.8,55.7,19.5,75.2
"Collembola",65371950,146475,266644693,2648,NA,22.7,44,33.3,77.3
"Oribatida",64485169,48479,39865843,794,NA,87.5,6.1,6.4,12.5
"Oribatida",65483178,102269,139514524,1683,NA,10,85.5,4.5,90
"Acari",49057666,86668,129308837,1895,NA,47.3,42.8,9.9,52.7
"Oribatida",68562796,53128,128305438,4095,NA,24.5,68.5,7,75.5
"Oribatida",67154145,57662,138242702,3888,NA,24.2,67.6,8.2,75.8
"Oribatida",87416670,67797,179604645,5472,NA,NA,NA,NA,NA
"Acari",65192812,71365,160070366,3207,NA,9.2,87.2,3.6,90.8
"Oribatida",61904502,48208,119788919,4679,NA,8.1,89.1,2.8,91.9
"Oribatida",61378381,48186,128345364,4909,NA,22.8,70.9,6.3,77.2
"Enchytraeidae",70923046,90092,438331010,10027,NA,22.2,56,21.8,77.8
"Enchytraeidae",62594291,71728,305460197,8895,NA,23.4,51.7,24.9,76.6
"Enchytraeidae",63829022,318824,559676837,2239,NA,51.3,13.3,35.4,48.7
"Enchytraeidae",71423373,527902,749469005,1708,NA,70.3,4.3,25.4,29.7
"Enchytraeidae",73524984,263428,625151618,3410,NA,38.5,23.9,37.6,61.5
"Enchytraeidae",60736374,163985,527705550,4629,NA,41.3,21.4,37.3,58.7
"Collembola",69319593,43674,280652606,23496,NA,13.9,74.3,11.8,86.1
"Collembola",63755891,227484,369815737,2230,NA,32.3,33.7,34,67.7
"Oribatida",9692709,50336,48994344,1005,1.91,62.9,25.4,11.7,37.1
"Oribatida",10923455,50071,47695575,976,2.61,63.6,24,12.4,36.4
"Nematoda",9465495,54549,49376150,932,5.06,88.6,5.9,5.5,11.4
"Nematoda",10986763,75076,103971068,1626,0.859999999999999,67.2,22.6,10.2,32.8
"Nematoda",8224033,71810,81276536,1239,0.939999999999998,78.9,13.2,7.9,21.1
